,"FR,MC,AD","GP,MQ,GF,RE,YT,PM,MF,BL","NC,PF,WF,TF","AT,BE,CZ,DE,DK,ES,FI,GB,GR,HU,IE,IT,LU,NL,PL,PT,SE,SI,SK,CH,GI,GL,BG,CY,EE,FO,LI,LT,LV,MT,RO,SM,VA","AZ,BY,DZ,HR,IS,MA,ME,RS,TR,AL,AM,BA,GE,MD,MK,RU,UA,NO,TN,BF,CI,GH,ML","AE,AO,BH,BI,BJ,BW,CA,CD,CF,CG,CM,CV,DJ,EG,ER,ET,GA,GM,GN,GW,IL,IR,JO,KE,KM,KW,LB,LR,LS,LY,MG,MR,MU,MW,MZ,NA,NE,NG,OM,PR,QA,RW,SA,SC,SD,SH,SL,SN,ST,SY,SZ,TD,TG,TZ,UG,US,YE,ZA,ZM,ZW,GQ","AF,AI,AN,AQ,AR,AS,AU,AW,BB,BD,BM,BN,BO,BR,BS,BZ,CK,CL,CN,CO,CR,DM,DO,EC,FJ,FK,FM,GD,GS,GT,GY,HK,HN,HT,ID,IN,JM,JP,KG,KH,KI,KN,KP,KR,KZ,LA,LC,LK,MH,MM,MN,MO,MP,MS,MV,MX,MY,NF,NI,NP,NR,NZ,PA,PE,PG,PH,PK,PW,PY,SB,SG,SR,SV,TC,TH,TJ,TL,TM,TO,TT,TV,TW,UY,UZ,VE,VG,VI,VN,VU,WS,AG,CU,GU,KY,PN,VC"
0.5,5.7,8.45,10.1,16.15,19.8,23.2,26.4
1,7.1,12.7,15.2,16.15,19.8,23.2,26.4
2,8.2,17.35,26.8,17.85,21.7,31.1,39.7
3,9.25,22,38.4,21.55,26.25,40.9,52.9
4,11.35,26.65,50,25.25,30.8,50.7,66.1
5,11.35,31.3,61.6,28.95,35.35,60.5,79.3
6,13.35,35.95,73.2,32.65,39.9,70.3,92.5
7,13.35,40.6,84.8,36.35,44.45,80.1,105.7
8,16.35,45.25,96.4,40.05,49,89.9,118.9
9,16.35,49.9,108,43.75,53.55,99.7,132.1
10,16.35,54.55,119.6,47.45,58.1,109.5,145.3
15,18.85,77.75,177.6,54.65,68.5,133.6,171.3
20,26.35,100.95,235.6,61.85,78.9,157.7,197.3
25,26.35,124.15,293.6,69.05,,,
30,26.35,147.35,351.6,76.25,,,
